file_name,image_path,caption,model,prompt
-01-16-2-3-2-5-15_jpg.rf.3a82c0e7cb6b006df4c9fc87d9b55368.jpg,data/-01-16-2-3-2-5-15_jpg.rf.3a82c0e7cb6b006df4c9fc87d9b55368.jpg,Computer vision dataset.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-3-2-5-15_jpg.rf.705a29a51fa44f15dbe29adcaf09d2e0.jpg,data/-01-16-2-3-2-5-15_jpg.rf.705a29a51fa44f15dbe29adcaf09d2e0.jpg,Room full of boxes stacked in a way that looks like a tower.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-3-2-5-20_jpg.rf.ff89baa4ddffc68390a744645a32236d.jpg,data/-01-16-2-3-2-5-20_jpg.rf.ff89baa4ddffc68390a744645a32236d.jpg,"This image depicts a scene within a computer vision lab. The focal point is a large, cardboard box prominently displayed in the foreground. The box is labeled with the brand name ""FLOWER"" and features a graphic of a flower. The box is secured with a metal band around its edges, indicating that it is intended for use in a computer-aided design (CAD) or computer-aided manufacturing (CAM) system. In the background, there are several",HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-1-28_jpg.rf.ebeb8cf9d541d5af713ac4414162e366.jpg,data/-01-16-2-4-2-1-28_jpg.rf.ebeb8cf9d541d5af713ac4414162e366.jpg,The woman is looking at a box. She is standing in front of a table with boxes on it. There are people sitting at desks.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-1-43_jpg.rf.ff99aa037d9bfedd3db50d5fb33aec86.jpg,data/-01-16-2-4-2-1-43_jpg.rf.ff99aa037d9bfedd3db50d5fb33aec86.jpg,A computer vision dataset for a computer lab.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-2-25_jpg.rf.1ba567b4c64d53342ed4dc1200fcfa2d.jpg,data/-01-16-2-4-2-2-25_jpg.rf.1ba567b4c64d53342ed4dc1200fcfa2d.jpg,The computer screen is turned off.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-2-33_jpg.rf.e314997ea7789b9c5f6124c04783d3a7.jpg,data/-01-16-2-4-2-2-33_jpg.rf.e314997ea7789b9c5f6124c04783d3a7.jpg,This image shows a woman in front of a camera taking a picture of herself on a scale in a room.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-2-39_jpg.rf.ac94511f8a64fa635875cf11c54c79cb.jpg,data/-01-16-2-4-2-2-39_jpg.rf.ac94511f8a64fa635875cf11c54c79cb.jpg,The woman is carrying several boxes.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-2-42_jpg.rf.965ebc2c5db9acbde62cd8a098f88821.jpg,data/-01-16-2-4-2-2-42_jpg.rf.965ebc2c5db9acbde62cd8a098f88821.jpg,In a room there is a person standing in the middle. There is a table in front of them. There are boxes on the right side.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-3-49_jpg.rf.9ec054286ca8b5b376f1359b5fefbf97.jpg,data/-01-16-2-4-2-3-49_jpg.rf.9ec054286ca8b5b376f1359b5fefbf97.jpg,In this image there is a woman who is holding a glass bottle. There is a table on which there are boxes. There are machines on the table. There are wires on the table. There are cabinets in the room.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-4-20_jpg.rf.f051a8d8b7b3b35fe2976c8f290c456f.jpg,data/-01-16-2-4-2-4-20_jpg.rf.f051a8d8b7b3b35fe2976c8f290c456f.jpg,A woman in a white shirt and black dress looks at a computer monitor. There are desks and computers in the room.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-4-28_jpg.rf.44fe01b2e1af7ceebd9e2d787826b7d6.jpg,data/-01-16-2-4-2-4-28_jpg.rf.44fe01b2e1af7ceebd9e2d787826b7d6.jpg,A.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-5-20_jpg.rf.9491b719e3674a5b0cfe838f6dff6959.jpg,data/-01-16-2-4-2-5-20_jpg.rf.9491b719e3674a5b0cfe838f6dff6959.jpg,"In a computer vision dataset, there is a woman standing in a room with three people. She is holding a camera and looking at something.",HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-4-2-5-43_jpg.rf.fe278d450f40818555ded39e54b71ee3.jpg,data/-01-16-2-4-2-5-43_jpg.rf.fe278d450f40818555ded39e54b71ee3.jpg,A. person working in a factory.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-1-211_jpg.rf.47ff785686afff295c3db6082306d066.jpg,data/-01-16-2-5-2-1-211_jpg.rf.47ff785686afff295c3db6082306d066.jpg,The computer is working. A person is moving boxes.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-1-24_jpg.rf.ed1e2603da473ea327885c86c48c6aac.jpg,data/-01-16-2-5-2-1-24_jpg.rf.ed1e2603da473ea327885c86c48c6aac.jpg,This image is a computer vision dataset. The scene is an office room with several people sitting at desks. There are several cardboard boxes stacked on the floor.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-1-27_jpg.rf.514b60191e0a885025adc7507042120f.jpg,data/-01-16-2-5-2-1-27_jpg.rf.514b60191e0a885025adc7507042120f.jpg,This image is a computer vision dataset.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-1-46_jpg.rf.b93cfb670e7036fd2fd68c6a4b44213a.jpg,data/-01-16-2-5-2-1-46_jpg.rf.b93cfb670e7036fd2fd68c6a4b44213a.jpg,This image looks like a computer vision dataset for a factory.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-2-111_jpg.rf.af5b619115aa4495f275ca4c23f52006.jpg,data/-01-16-2-5-2-2-111_jpg.rf.af5b619115aa4495f275ca4c23f52006.jpg,Computer vision dataset.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-2-39_jpg.rf.a1e227c539b7bd222b70b017c841db55.jpg,data/-01-16-2-5-2-2-39_jpg.rf.a1e227c539b7bd222b70b017c841db55.jpg,Close up.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-2-39_jpg.rf.b72e4e475a38ea6209f5759dd94bbedb.jpg,data/-01-16-2-5-2-2-39_jpg.rf.b72e4e475a38ea6209f5759dd94bbedb.jpg,The person is looking at the table.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-3-24_jpg.rf.393f405ce20e71631598626f771214c8.jpg,data/-01-16-2-5-2-3-24_jpg.rf.393f405ce20e71631598626f771214c8.jpg,Computer vision dataset.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-3-33_jpg.rf.d9ffbdf24dde3bd01d489b0544b37f72.jpg,data/-01-16-2-5-2-3-33_jpg.rf.d9ffbdf24dde3bd01d489b0544b37f72.jpg,The table is empty. Two people are standing near it. A person is holding a piece of paper. A computer is on a desk. A box is on the desk.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
-01-16-2-5-2-4-12_jpg.rf.2c2d37f49ca9d6022133709049e30cfd.jpg,data/-01-16-2-5-2-4-12_jpg.rf.2c2d37f49ca9d6022133709049e30cfd.jpg,A computer vision dataset.,HuggingFaceTB/SmolVLM-256M-Instruct,"Describe this image for a computer vision dataset.
Return one concise sentence in English.
Include the main visible objects, scene, actions if any, colors, and important context.
Do not invent hidden details. Do not use bullet points."
